Frequency,year,Area,State,crop,Unit,Volume
"Annual, Ending mar Of Each Year", 3-2009,1.51,Karnataka,Rice,Ton th,3802.0
"Annual, Ending mar Of Each Year", 3-2010,1.487,Karnataka,Rice,Ton th,3691.0
"Annual, Ending mar Of Each Year", 3-2011,1.54,Karnataka,Rice,Ton th,4188.0
"Annual, Ending mar Of Each Year", 3-2012,1.42,Karnataka,Rice,Ton th,3960.0
"Annual, Ending mar Of Each Year", 3-2013,1.27,Karnataka,Rice,Ton th,3280.0
"Annual, Ending mar Of Each Year", 3-2005,0.29,Kerala,Rice,Ton th,667.1
"Annual, Ending mar Of Each Year", 3-2006,0.28,Kerala,Rice,Ton th,629.9
"Annual, Ending mar Of Each Year", 3-2007,0.26,Kerala,Rice,Ton th,631.0
"Annual, Ending mar Of Each Year", 3-2008,0.23,Kerala,Rice,Ton th,528.5
"Annual, Ending mar Of Each Year", 3-2009,0.23,Kerala,Rice,Ton th,590.3
"Annual, Ending mar Of Each Year", 3-2010,0.234,Kerala,Rice,Ton th,598.3
"Annual, Ending mar Of Each Year", 3-2011,0.213,Kerala,Rice,Ton th,523.0
"Annual, Ending mar Of Each Year", 3-2012,0.21,Kerala,Rice,Ton th,570.0
"Annual, Ending mar Of Each Year", 3-2013,0.2,Kerala,Rice,Ton th,530.0
"Annual, Ending mar Of Each Year", 3-2005,1.62,MadhyaPradesh,Rice,Ton th,1169.0
"Annual, Ending mar Of Each Year", 3-2006,1.66,MadhyaPradesh,Rice,Ton th,1656.3
"Annual, Ending mar Of Each Year", 3-2007,1.66,MadhyaPradesh,Rice,Ton th,1368.4
"Annual, Ending mar Of Each Year", 3-2008,1.56,MadhyaPradesh,Rice,Ton th,1461.9
"Annual, Ending mar Of Each Year", 3-2009,1.68,MadhyaPradesh,Rice,Ton th,1559.7
"Annual, Ending mar Of Each Year", 3-2010,1.4457,MadhyaPradesh,Rice,Ton th,1260.6
"Annual, Ending mar Of Each Year", 3-2011,1.603,MadhyaPradesh,Rice,Ton th,1772.0
"Annual, Ending mar Of Each Year", 3-2012,1.66,MadhyaPradesh,Rice,Ton th,2230.0
"Annual, Ending mar Of Each Year", 3-2013,1.88,MadhyaPradesh,Rice,Ton th,2780.0
"Annual, Ending mar Of Each Year", 3-2005,1.52,Maharashtra,Rice,Ton th,2164.0
"Annual, Ending mar Of Each Year", 3-2006,1.52,Maharashtra,Rice,Ton th,2695.0
"Annual, Ending mar Of Each Year", 3-2007,1.53,Maharashtra,Rice,Ton th,2569.0
"Annual, Ending mar Of Each Year", 3-2008,1.57,Maharashtra,Rice,Ton th,2996.0
"Annual, Ending mar Of Each Year", 3-2009,1.52,Maharashtra,Rice,Ton th,2284.0
"Annual, Ending mar Of Each Year", 3-2010,1.47,Maharashtra,Rice,Ton th,2183.0
"Annual, Ending mar Of Each Year", 3-2011,1.518,Maharashtra,Rice,Ton th,2696.0
"Annual, Ending mar Of Each Year", 3-2012,1.54,Maharashtra,Rice,Ton th,2840.0
"Annual, Ending mar Of Each Year", 3-2013,1.55,Maharashtra,Rice,Ton th,3040.0
"Annual, Ending mar Of Each Year", 3-2005,4.47,Orissa,Rice,Ton th,6466.0
"Annual, Ending mar Of Each Year", 3-2006,4.48,Orissa,Rice,Ton th,6859.0
"Annual, Ending mar Of Each Year", 3-2007,4.45,Orissa,Rice,Ton th,6824.7
"Annual, Ending mar Of Each Year", 3-2008,4.45,Orissa,Rice,Ton th,7540.7
"Annual, Ending mar Of Each Year", 3-2009,4.45,Orissa,Rice,Ton th,6812.7
"Annual, Ending mar Of Each Year", 3-2010,4.3651,Orissa,Rice,Ton th,6917.5
"Annual, Ending mar Of Each Year", 3-2011,4.226,Orissa,Rice,Ton th,6828.0
"Annual, Ending mar Of Each Year", 3-2012,4.0,Orissa,Rice,Ton th,6830.0
"Annual, Ending mar Of Each Year", 3-2013,4.03,Orissa,Rice,Ton th,7640.0
"Annual, Ending mar Of Each Year", 3-2005,2.65,Punjab,Rice,Ton th,10437.0
"Annual, Ending mar Of Each Year", 3-2006,2.64,Punjab,Rice,Ton th,10193.0
"Annual, Ending mar Of Each Year", 3-2007,2.62,Punjab,Rice,Ton th,10138.0
"Annual, Ending mar Of Each Year", 3-2008,2.61,Punjab,Rice,Ton th,10489.0
"Annual, Ending mar Of Each Year", 3-2009,2.74,Punjab,Rice,Ton th,11000.0
"Annual, Ending mar Of Each Year", 3-2010,2.802,Punjab,Rice,Ton th,11236.0
"Annual, Ending mar Of Each Year", 3-2011,2.831,Punjab,Rice,Ton th,10837.0
"Annual, Ending mar Of Each Year", 3-2012,2.82,Punjab,Rice,Ton th,10540.0
"Annual, Ending mar Of Each Year", 3-2013,2.85,Punjab,Rice,Ton th,11370.0
"Annual, Ending mar Of Each Year", 3-2005,1.87,TamilNadu,Rice,Ton th,5062.2
"Annual, Ending mar Of Each Year", 3-2006,2.05,TamilNadu,Rice,Ton th,5220.0
"Annual, Ending mar Of Each Year", 3-2007,1.93,TamilNadu,Rice,Ton th,6610.6
"Annual, Ending mar Of Each Year", 3-2008,1.79,TamilNadu,Rice,Ton th,5040.2
"Annual, Ending mar Of Each Year", 3-2009,1.93,TamilNadu,Rice,Ton th,5182.7
"Annual, Ending mar Of Each Year", 3-2010,1.8455,TamilNadu,Rice,Ton th,5665.2
"Annual, Ending mar Of Each Year", 3-2011,1.906,TamilNadu,Rice,Ton th,5792.0
"Annual, Ending mar Of Each Year", 3-2012,1.9,TamilNadu,Rice,Ton th,7460.0
"Annual, Ending mar Of Each Year", 3-2013,1.58,TamilNadu,Rice,Ton th,4400.0
"Annual, Ending mar Of Each Year", 3-2005,5.34,UttarPradesh,Rice,Ton th,9555.6
"Annual, Ending mar Of Each Year", 3-2006,5.58,UttarPradesh,Rice,Ton th,11133.7
"Annual, Ending mar Of Each Year", 3-2007,5.92,UttarPradesh,Rice,Ton th,11124.0
"Annual, Ending mar Of Each Year", 3-2008,5.71,UttarPradesh,Rice,Ton th,11780.0
"Annual, Ending mar Of Each Year", 3-2009,6.03,UttarPradesh,Rice,Ton th,13097.0
"Annual, Ending mar Of Each Year", 3-2010,5.1867,UttarPradesh,Rice,Ton th,10807.1
"Annual, Ending mar Of Each Year", 3-2011,5.657,UttarPradesh,Rice,Ton th,11992.0
"Annual, Ending mar Of Each Year", 3-2012,5.95,UttarPradesh,Rice,Ton th,14020.0
"Annual, Ending mar Of Each Year", 3-2013,5.86,UttarPradesh,Rice,Ton th,14410.0
"Annual, Ending mar Of Each Year", 3-2005,5.78,WestBengal,Rice,Ton th,14884.8
"Annual, Ending mar Of Each Year", 3-2006,5.78,WestBengal,Rice,Ton th,14510.8
"Annual, Ending mar Of Each Year", 3-2007,5.69,WestBengal,Rice,Ton th,14745.9
"Annual, Ending mar Of Each Year", 3-2008,5.72,WestBengal,Rice,Ton th,14719.5
"Annual, Ending mar Of Each Year", 3-2009,5.94,WestBengal,Rice,Ton th,15037.2
"Annual, Ending mar Of Each Year", 3-2010,5.6301,WestBengal,Rice,Ton th,14340.7
"Annual, Ending mar Of Each Year", 3-2011,4.944,WestBengal,Rice,Ton th,13046.0
"Annual, Ending mar Of Each Year", 3-2012,5.43,WestBengal,Rice,Ton th,14610.0
"Annual, Ending mar Of Each Year", 3-2013,5.43,WestBengal,Rice,Ton th,14960.0
"Annual, Ending mar Of Each Year", 3-2005,0.06,Assam,Wheat,Ton th,68.1
"Annual, Ending mar Of Each Year", 3-2006,0.05,Assam,Wheat,Ton th,53.7
"Annual, Ending mar Of Each Year", 3-2007,0.06,Assam,Wheat,Ton th,67.0
"Annual, Ending mar Of Each Year", 3-2008,0.06,Assam,Wheat,Ton th,71.0
"Annual, Ending mar Of Each Year", 3-2009,0.05,Assam,Wheat,Ton th,54.6
"Annual, Ending mar Of Each Year", 3-2010,0.0584,Assam,Wheat,Ton th,63.5
"Annual, Ending mar Of Each Year", 3-2011,0.045,Assam,Wheat,Ton th,53.0
"Annual, Ending mar Of Each Year", 3-2012,0.05,Assam,Wheat,Ton th,60.0
"Annual, Ending mar Of Each Year", 3-2013,0.05,Assam,Wheat,Ton th,60.0
"Annual, Ending mar Of Each Year", 3-2005,2.03,Bihar,Wheat,Ton th,3263.4
"Annual, Ending mar Of Each Year", 3-2006,2.0,Bihar,Wheat,Ton th,3239.0
"Annual, Ending mar Of Each Year", 3-2007,2.05,Bihar,Wheat,Ton th,3911.4
"Annual, Ending mar Of Each Year", 3-2008,2.16,Bihar,Wheat,Ton th,4450.4
"Annual, Ending mar Of Each Year", 3-2009,2.16,Bihar,Wheat,Ton th,4410.0
"Annual, Ending mar Of Each Year", 3-2010,2.1933,Bihar,Wheat,Ton th,4570.8
"Annual, Ending mar Of Each Year", 3-2011,2.104,Bihar,Wheat,Ton th,4098.0
"Annual, Ending mar Of Each Year", 3-2012,2.14,Bihar,Wheat,Ton th,4730.0
"Annual, Ending mar Of Each Year", 3-2013,2.22,Bihar,Wheat,Ton th,5380.0
"Annual, Ending mar Of Each Year", 3-2005,0.73,Gujarat,Wheat,Ton th,1805.5
"Annual, Ending mar Of Each Year", 3-2006,0.92,Gujarat,Wheat,Ton th,2473.0
"Annual, Ending mar Of Each Year", 3-2007,1.2,Gujarat,Wheat,Ton th,3000.0
"Annual, Ending mar Of Each Year", 3-2008,1.27,Gujarat,Wheat,Ton th,3838.0
"Annual, Ending mar Of Each Year", 3-2009,1.09,Gujarat,Wheat,Ton th,2593.0
"Annual, Ending mar Of Each Year", 3-2010,0.878,Gujarat,Wheat,Ton th,2352.0
"Annual, Ending mar Of Each Year", 3-2011,1.274,Gujarat,Wheat,Ton th,4020.0
"Annual, Ending mar Of Each Year", 3-2012,1.35,Gujarat,Wheat,Ton th,4070.0
"Annual, Ending mar Of Each Year", 3-2013,1.05,Gujarat,Wheat,Ton th,3140.0
"Annual, Ending mar Of Each Year", 3-2005,2.32,Haryana,Wheat,Ton th,9058.0
